open,high,low,close,volume,class
0.0689,0.0693,0.0689,0.0689,30531200,0
0.0693,0.0698,0.0693,0.0693,34809600,0
0.0689,0.0689,0.0685,0.0685,17539200,1
0.0667,0.0667,0.0663,0.0663,27686400,1
0.065,0.065,0.0645,0.0645,19510400,1
0.0637,0.0637,0.0632,0.0632,19353600,1
0.0619,0.0619,0.0615,0.0615,19376000,1
0.0619,0.0624,0.0619,0.0619,26320000,0
0.0624,0.0628,0.0624,0.0624,49033600,0
0.0593,0.0593,0.0589,0.0589,47420800,1
0.0584,0.0584,0.0576,0.0576,28201600,1
0.0576,0.0576,0.0571,0.0571,18300800,1
0.0506,0.0506,0.0497,0.0497,34608000,1
0.0502,0.0506,0.0502,0.0502,91728000,0
